,Germany,Iran,Ukraine,Italy,Austria,Russia,Others,China,Slovenia,Hungary,Slovakia,Poland,Romania,Croatia,Afghanistan,Syria,Serbia,Bosnia and Herzegovina,North Macedonia,Bulgaria,Turkey
Slovakia,-0.5780281467757625,-0.06879574646070166,-0.6382053241483616,-0.5195259280878953,-0.30329801322587985,-0.3067540251924404,-0.23927537584861164,0.4103734236638286,-0.1270938003750898,0.5004481123765161,1.0,0.5905389303652473,0.6497527506117301,0.43437481125314314,0.637749580719118,0.16294677441815444,0.44787031741847205,0.48968701667415465,0.508151551208222,0.3139650715732562,0.5466755761440861
Poland,-0.6794372090096708,-0.05220741267866069,-0.7267681397552322,-0.6514986622734663,-0.55769457650744,-0.5174780062786345,-0.36080244886143137,0.3374328257322409,-0.45299311571367656,0.5465669642588642,0.5905389303652473,1.0,0.831175007806001,0.7740659573813294,0.8262596905891478,0.4999636920556009,0.8167347509817502,0.7696017860101242,0.8045309930962855,0.43016270717844096,0.6647837532565135
Romania,-0.6701183017867848,-0.24404139641841063,-0.5784541253109746,-0.5519466915881254,-0.756751941156092,-0.37885504856728935,-0.21993327204428423,0.3166994667561915,-0.2339800857848084,0.47838645391330964,0.6497527506117301,0.831175007806001,1.0,0.8525882711141888,0.8405334781934336,0.5422719072354203,0.8964904085196915,0.9154717092913887,0.8954692347648164,0.6576228557978352,0.8907184169024972
Croatia,-0.47666458648431126,-0.41681692735090703,-0.524594284718367,-0.38444055389625115,-0.7449711710382101,-0.5220193713932129,-0.19694463696897177,0.10234681240790136,-0.1611705373562979,0.4015112714805229,0.43437481125314314,0.7740659573813294,0.8525882711141888,1.0,0.6808797446746506,0.5475626272497212,0.9240464903934764,0.9271982926006831,0.8241572734925464,0.6322808345566163,0.7823513912318626
Afghanistan,-0.8033670760209726,-0.03817932177354681,-0.685478450185659,-0.7586152276151419,-0.6192360499290107,-0.34915392684236785,-0.36596486751432694,0.37770900064004004,-0.30107114299295434,0.4977178529445531,0.637749580719118,0.8262596905891478,0.8405334781934336,0.6808797446746506,1.0,0.5447793650384217,0.7769328712366087,0.8214685970225032,0.927441218773887,0.6408517935247489,0.8712469800166015
Syria,-0.12969123802283616,-0.21287425198581064,-0.32377026728097447,-0.10435354277835515,-0.7607871838316881,-0.2396701293040899,0.12683211214005358,0.18713527465609672,-0.2960223246226426,0.17331738754675402,0.16294677441815444,0.4999636920556009,0.5422719072354203,0.5475626272497212,0.5447793650384217,1.0,0.6297086427697575,0.6189262713896325,0.5904229168057398,0.563455188076635,0.574558164054999
Serbia,-0.4894598552024047,-0.3605186430033229,-0.5266511122804013,-0.3888581091684679,-0.8567673988727079,-0.4245810912222152,-0.09207001944379802,0.1694363346256825,-0.2057357839535298,0.35893298727080153,0.44787031741847205,0.8167347509817502,0.8964904085196915,0.9240464903934764,0.7769328712366087,0.6297086427697575,1.0,0.9389713585056717,0.9059585771816038,0.7429625621532394,0.8680882779720259
Bosnia and Herzegovina,-0.5465967074111193,-0.3916960127382073,-0.580094358557494,-0.46564916632104875,-0.809491224041867,-0.47857831898486747,-0.19512994510607368,0.20824705957252954,-0.1457824522956821,0.4465559465565512,0.48968701667415465,0.7696017860101242,0.9154717092913887,0.9271982926006831,0.8214685970225032,0.6189262713896325,0.9389713585056717,1.0,0.927648054564947,0.7889317182829092,0.8988325850385621
North Macedonia,-0.6858882473763175,-0.28958477809800603,-0.6069019919021752,-0.6325320749996496,-0.7409562838340801,-0.39105328849542437,-0.28974009265154066,0.25438821559046415,-0.23170240458574964,0.3641955525501976,0.508151551208222,0.8045309930962855,0.8954692347648164,0.8241572734925464,0.927441218773887,0.5904229168057398,0.9059585771816038,0.927648054564947,1.0,0.7320927431639239,0.9100292201278964
Bulgaria,-0.2661043384532957,-0.35431727551281955,-0.3016962424610466,-0.11352869332471799,-0.8120000427217617,-0.1645133594197965,0.14954469045653637,0.2051821993831532,0.13024525675232712,0.26662475188229817,0.3139650715732562,0.43016270717844096,0.6576228557978352,0.6322808345566163,0.6408517935247489,0.563455188076635,0.7429625621532394,0.7889317182829092,0.7320927431639239,1.0,0.7560771317753894
